Country;2016
Argentina;19934
Australia;46790
Austria;50078
Belgium;46383
Belarus;18060
Brazil;15128
Bulgaria;19199
Chile;23960
China;15535
Croatia;23596
Cyprus;32580
Czech Republic;34711
Denmark;49696
Egypt;11132
Estonia;29365
Finland;43053
France;41466
Greece;26783
Spain;36310
Netherlands;50898
India;6572
Indonesia;11612
Ireland;68883
Iceland;51399
Israel;37901
Japan;41470
Canada;44025
South Korea;35751
Lithuania;29966
Luxembourg;105882
Latvia;26031
Malta;37899
Mexico;17862
Germany;48730
Nigeria;5867
Norway;59302
New Zealand;39059
Poland;27811
South Africa;30624
Portugal;13225
Russia;23163
Romania;23626
Slovakia;30632
Slovenia;32885
United States;57467
Switzerland;62881
Sweden;49175
Turkey;24244
Ukraine;8272
Hungary;26681
United Kingdom;42609
Italy;38161
